,Orthomyxoviridae,Flaviviridae,Herpesviridae,Papillomaviridae,Retroviridae,Paramyxoviridae,Arenaviridae,Polyomaviridae,Coronaviridae,Poxviridae,Parvoviridae
Q9UJV3,0,0,1,0,0,0,0,0,0,0,0
Q9UL63,0,0,1,0,0,0,0,0,0,0,0
Q9UPT5,1,1,1,0,0,0,0,0,0,1,0
Q8WVT3,0,0,0,0,0,0,0,0,0,0,0
Q9Y6Q2,0,0,0,0,0,0,0,0,0,0,0
Q8NEE6,0,0,0,0,0,0,0,0,0,0,0
Q9UBT7,1,0,0,0,0,0,0,0,0,0,0
Q9Y4W2,1,0,0,1,0,0,0,0,0,0,0
A0A1B0GTH6,0,0,0,0,0,0,0,0,0,0,0
Q9HCM4,0,0,1,0,0,0,0,0,0,0,0
P85037,0,0,1,1,0,1,0,0,0,0,0
Q7Z2T5,1,0,0,1,1,0,0,0,0,0,0
Q5VTL7,0,0,0,0,0,0,0,0,0,0,0
O15259,0,0,1,0,0,0,0,0,0,0,0
P13010,1,1,1,0,1,1,0,0,0,0,1
P13798,0,0,1,0,0,0,0,0,0,0,0
P23276,0,0,0,0,0,0,0,0,0,0,0
P33402,0,0,0,0,0,0,0,0,0,0,0
P48449,0,0,0,0,0,0,0,0,0,0,0
Q8NI17,0,0,0,0,0,0,0,0,0,0,0
Q9NV66,0,0,0,0,0,0,0,0,0,0,0
Q96T17,0,0,0,0,0,0,0,0,0,0,0
Q13823,1,1,0,1,0,0,0,0,0,0,0
Q96AQ6,0,0,1,1,1,0,0,0,0,0,0
Q9BSW2,0,0,0,0,1,0,0,0,0,0,0
Q8NHY2,0,0,0,0,0,0,0,0,0,0,0
Q8TBA6,0,0,0,0,0,0,0,0,0,0,0
Q9UGI6,0,0,0,0,0,0,0,0,0,0,0
Q86SP6,0,0,0,0,0,0,0,0,0,0,0
Q8N103,0,0,0,0,0,0,0,0,0,0,0
O60583,0,0,0,0,1,0,0,0,0,0,0
P52272,1,1,1,1,1,1,0,0,0,0,1
Q684P5,0,0,0,0,0,0,0,0,0,0,0
Q8TDW5,0,0,0,0,0,0,0,0,0,0,0
Q9NZJ0,0,0,0,0,0,0,0,0,0,0,0
Q92560,0,0,0,0,0,0,0,0,0,1,0
Q92841,1,1,1,1,1,0,1,0,0,0,1
Q96S59,1,0,1,1,1,1,0,0,0,0,0
Q9UBB6,1,0,0,0,0,0,0,0,0,0,0
Q9UHD2,0,1,1,0,0,0,0,0,1,1,0
Q13061,0,0,0,0,0,0,0,0,0,0,0
Q16348,0,0,0,0,0,0,0,0,0,0,0
Q17RY0,0,0,0,0,0,0,0,0,0,0,0
Q3YEC7,0,0,0,0,0,0,0,0,0,0,0
Q8TEC5,0,0,0,0,0,0,0,0,0,0,0
Q9P2N2,0,0,0,0,0,0,0,0,0,0,0
O00459,1,0,1,0,1,0,0,0,0,1,0
Q8TBB1,0,0,1,1,0,0,0,1,0,0,0
Q9UJC3,1,1,0,0,0,0,0,0,1,0,0
P12755,0,0,0,0,0,0,0,0,0,0,0
Q5VWT5,0,0,0,0,0,0,0,0,0,0,0
Q9H1V8,0,1,0,0,0,0,0,0,0,0,0
P28331,0,1,0,1,0,0,0,0,0,0,0
P43304,1,0,1,1,0,0,0,0,0,0,0
P49711,1,0,0,0,0,0,0,0,0,0,0
Q4J6C6,1,0,1,0,0,0,0,0,0,0,0
Q92556,0,0,0,0,1,0,0,0,0,0,0
Q96MU7,1,1,0,0,0,0,0,0,0,0,0
P46199,0,0,0,0,0,0,0,0,0,0,0
Q8NA31,0,0,0,0,0,0,0,0,0,0,0
Q9BYZ6,0,0,0,0,0,0,0,0,0,0,0
Q9Y2G4,0,0,0,0,0,0,0,0,0,0,0
Q86XD8,0,0,0,0,0,0,0,0,0,0,0
Q5W0B1,1,0,1,0,0,0,0,0,0,0,0
Q9H8Y5,0,0,1,0,1,0,0,0,0,0,0
P50747,0,0,0,0,0,0,0,0,0,0,0
Q8IU68,0,0,0,0,0,0,0,0,0,0,0
Q8NBF2,0,0,0,0,0,0,0,0,0,0,0
Q3MJ40,0,0,1,0,0,0,0,0,0,0,0
Q8IYI6,1,0,0,1,0,0,0,0,0,0,0
Q96RQ3,0,0,1,0,1,0,0,0,0,0,0
Q99661,0,0,0,0,0,0,0,0,0,1,0
O00418,0,0,0,0,0,0,0,0,0,0,0
Q5VZE5,0,0,0,0,0,0,0,0,0,0,0
Q6PJW8,0,0,0,0,0,0,0,0,0,0,0
Q8N187,0,0,0,0,0,0,0,0,0,0,0
Q8NEP3,0,0,0,0,0,0,0,0,0,0,0
Q96SZ4,0,0,0,0,0,0,0,0,0,0,0
Q96T83,0,0,0,0,0,0,0,0,0,0,0
Q96CP6,0,0,0,1,0,0,0,0,0,0,1
Q6SZW1,0,1,0,0,0,0,0,0,0,0,0
Q71RC2,1,1,0,1,0,0,0,0,0,0,0
O75330,0,0,0,0,0,0,0,0,0,0,0
Q6ZQN7,0,0,0,0,0,0,0,0,0,0,0
Q96GR2,0,0,0,0,0,0,0,0,0,0,0
P26639,0,0,0,0,1,0,0,0,0,0,0
Q6UWE0,0,0,0,0,1,0,0,0,0,0,0
Q8N1B4,1,1,1,1,0,0,0,0,0,0,0
Q9NZ52,1,0,0,0,0,0,0,0,0,0,0
Q32MQ0,0,0,0,0,0,0,0,0,0,0,0
Q8IWZ5,0,0,0,0,0,0,0,0,0,0,0
Q8TAM1,0,0,0,0,0,0,0,0,0,0,0
Q96M32,0,0,0,0,0,0,0,0,0,0,0
Q9NZQ3,0,0,1,0,1,0,0,0,0,0,0
Q9P2Y4,0,0,0,1,0,0,0,0,0,0,0
Q9Y223,0,0,0,0,0,0,0,0,0,0,0
Q17RC7,0,0,0,0,0,0,0,0,0,0,0
Q5T6C5,0,0,0,0,0,0,0,0,0,0,0
Q13144,1,1,0,0,0,0,0,0,0,0,0
Q16659,0,0,0,0,1,0,0,0,0,0,0
Q9Y608,1,0,0,0,0,0,0,0,0,0,0
Q9BXC9,0,0,0,0,0,0,0,0,0,0,0
Q9H6R7,0,0,0,0,0,0,0,0,0,0,0
O95573,1,0,1,1,1,1,0,0,1,0,0
Q9H9D4,0,0,0,1,0,0,0,0,0,0,0
P56975,0,0,0,0,0,0,0,0,0,0,0
Q969H4,0,0,0,0,0,0,0,0,0,0,0
Q9NYZ3,0,0,0,0,0,0,0,0,0,0,0
Q6UXH9,0,0,0,0,0,0,0,0,0,0,0
Q96RL1,0,0,1,0,0,0,0,0,0,0,0
Q96T68,0,0,0,0,1,0,0,0,0,0,0
Q9H8H0,0,0,0,0,0,0,0,0,0,0,0
A6NGR9,0,0,0,0,0,0,0,0,0,0,0
Q9C0H6,0,0,1,0,0,0,0,0,0,0,0
P53794,0,0,0,1,0,0,0,0,0,0,0
Q9Y6D9,0,0,0,0,1,0,0,0,0,0,0
Q96ME1,0,0,0,1,0,0,0,0,0,0,0
Q9UPU9,0,0,0,0,0,0,0,0,0,0,0
Q6NSI8,0,0,0,0,0,0,0,0,0,0,0
Q8NE18,0,0,0,0,0,0,0,0,0,0,0
Q12996,1,0,0,0,1,0,0,0,0,0,0
Q9H307,1,0,1,0,1,0,0,1,0,0,0
Q9UH99,1,0,1,0,1,0,0,0,1,1,0
Q5TAT6,0,0,0,0,0,0,0,0,0,0,0
Q9Y2Z2,0,0,0,0,0,0,0,0,0,0,0
Q6P3S6,0,0,0,0,0,0,0,0,0,0,0
Q9H0K4,0,0,0,0,0,0,0,0,0,0,0
Q6ZPD9,0,0,1,0,1,0,0,0,0,0,0
Q2M385,0,0,0,0,0,0,0,0,0,0,0
Q4VC44,0,0,0,0,0,0,0,0,0,0,0
Q6TDU7,0,0,0,0,0,0,0,0,0,0,0
Q6UXK5,0,0,0,0,0,0,0,0,0,0,0
Q8N8K9,0,0,0,0,0,0,0,0,0,0,0
Q9C0B5,0,0,0,0,0,0,0,0,1,0,0
P20592,0,0,1,0,0,0,0,0,0,0,0
Q13330,0,0,1,0,1,1,1,0,0,0,0
Q8IWZ6,0,0,0,0,0,0,0,0,0,0,0
Q8IYE1,0,0,0,0,0,0,0,0,0,0,0
Q8IYT3,0,0,0,0,0,0,0,0,0,0,0
Q8IZW8,0,0,0,0,0,0,0,0,0,0,0
Q92503,0,0,0,0,0,0,0,0,0,0,0
Q8N8Z6,0,0,0,0,0,0,0,0,0,0,0
B3KS81,0,0,0,0,0,0,0,0,0,0,0
A0AV02,0,0,0,1,0,0,0,0,0,0,0
Q8N302,0,1,0,0,0,0,0,0,0,0,0
Q6NSJ0,0,0,0,0,0,0,0,0,0,0,0
Q6ZUT3,0,0,0,0,0,0,0,0,0,0,0
Q8TC05,0,0,0,0,0,0,0,0,0,0,0
P57058,0,0,0,0,0,0,0,0,0,0,0
D6REC4,0,0,0,0,0,0,0,0,0,0,0
Q86SQ7,0,1,1,0,1,0,0,0,0,0,0
Q99797,0,1,0,0,0,0,0,0,0,0,0
Q9Y2K1,1,1,0,0,0,0,0,0,0,0,0
Q5SWA1,0,0,0,0,0,0,0,0,0,0,0
Q9NT99,0,0,0,0,0,0,0,0,0,0,0
Q9Y253,0,0,0,0,0,0,0,0,0,0,0
Q7Z404,0,0,0,0,0,0,0,1,0,0,0
P51617,1,1,1,0,0,1,0,0,0,0,0
Q8IUC6,0,1,0,0,0,0,0,0,0,1,0
Q8N5C8,1,0,0,0,0,0,0,0,0,0,0
O15060,0,0,0,0,0,0,0,0,0,0,0
Q9H0E7,0,0,0,0,0,0,0,0,0,0,0
B2RXH4,0,0,0,0,0,0,0,0,0,0,0
Q70EK9,1,0,0,0,0,0,0,0,0,0,0
Q92945,1,0,0,0,0,0,0,0,0,0,1
Q9UBD5,1,0,0,1,0,0,0,0,0,0,0
Q9UQF2,0,0,0,0,0,0,0,0,0,1,0
A2AJT9,0,0,0,1,0,0,0,0,0,0,0
O94850,0,0,0,0,0,0,0,0,0,0,0
Q4KMQ1,0,0,0,0,0,0,0,0,0,0,0
Q9BYJ1,0,0,0,0,0,0,0,0,0,0,0
Q9H116,0,0,0,0,0,0,0,0,0,0,0
Q9NWN3,0,0,0,0,0,0,0,0,0,0,0
Q9C026,0,0,0,1,0,0,0,0,0,0,0
P02788,0,1,0,0,1,1,0,0,0,0,0
Q9UIG8,0,0,0,1,0,0,0,0,0,0,0
P19338,1,1,1,1,1,1,1,0,0,0,1
Q92541,1,0,0,0,0,0,0,0,0,0,0
Q9NYY8,1,0,0,0,0,0,0,0,0,0,0
Q9NVR2,0,0,0,1,0,0,0,0,0,0,0
P48147,0,0,0,0,0,0,0,0,0,0,0
Q6ZW61,0,0,0,0,0,0,0,0,0,0,0
Q14444,1,0,0,0,1,1,1,0,0,1,0
Q08945,1,0,0,0,1,0,0,0,0,0,0
Q2YD98,0,0,0,1,0,0,0,0,0,0,0
Q92542,1,1,0,0,0,0,0,0,0,0,0
O75069,0,0,0,0,0,0,0,0,0,0,0
Q14123,0,0,0,0,0,0,0,0,0,0,0
Q8N307,0,0,0,0,0,0,0,0,0,0,0
O00471,0,0,1,0,0,0,0,0,0,0,0
O43164,1,0,1,0,0,0,0,0,0,0,0
P20810,1,0,0,1,0,0,0,0,0,0,0
P49959,0,0,1,0,0,0,0,0,0,0,0
Q86TG7,0,1,0,0,0,0,0,0,0,0,0
Q9UGI0,1,0,1,0,0,0,0,0,0,0,0
Q6P3R8,1,0,0,0,0,0,0,0,0,0,0
Q4G163,0,0,0,0,0,0,0,0,0,0,0
Q8NCN4,0,0,0,0,0,0,0,0,0,0,0
Q9NQG7,0,0,0,0,0,0,0,0,0,0,0
Q9NVU0,0,0,0,0,0,0,0,0,0,0,0
Q8IZF7,0,0,0,0,0,0,0,0,0,0,0
Q9NVR0,0,0,0,0,0,0,0,0,0,0,0
Q8NE01,1,0,0,0,1,0,0,0,0,0,0
Q8TBC3,0,1,0,1,0,0,0,0,0,0,0
P14780,0,0,0,0,1,0,0,0,0,0,0
P23246,1,0,1,0,1,0,1,0,0,1,1
Q6NZY4,1,1,0,0,0,0,0,0,0,0,0
Q969H0,0,1,1,0,0,0,0,1,0,0,0
Q9H078,1,0,0,0,0,1,0,0,0,0,0
Q9BU23,0,1,0,0,1,0,0,0,0,0,1
Q9H4Q3,0,0,0,0,0,0,0,0,0,0,0
Q9NX78,0,0,0,0,0,0,0,0,0,0,0
Q9NQR7,0,0,0,0,0,0,0,0,0,0,0
Q8IWA5,0,0,0,1,0,0,0,0,1,0,0
O60353,0,0,1,1,0,0,0,0,0,0,0
P41182,0,1,0,0,1,0,0,0,0,0,0
Q7L622,0,0,0,1,0,0,0,0,0,0,0
O14523,0,0,0,0,0,0,0,0,0,0,0
Q5T197,0,0,0,0,0,0,0,0,0,0,0
Q6IA69,0,0,0,0,0,0,0,0,0,0,0
Q9NVM9,0,0,0,0,0,0,0,0,0,0,0
Q8N3C7,1,1,0,0,0,0,0,0,1,0,0
Q969R5,0,0,0,1,0,0,0,0,0,0,0
Q9H892,1,0,1,0,0,0,0,0,0,0,0
P00736,0,0,0,0,0,0,0,0,0,0,0
P17600,0,0,0,0,0,0,0,0,0,0,0
Q8N350,0,0,0,0,0,0,0,0,0,0,0
Q96EF0,0,0,0,0,0,0,0,0,0,0,0
Q9BYT8,0,0,0,0,0,0,0,0,0,0,0
Q9H4Z3,0,0,0,0,0,0,0,0,0,0,0
Q9H992,0,0,0,0,0,0,0,0,0,0,0
O15234,1,0,0,0,1,0,0,0,0,0,0
Q8N6Y0,1,1,1,0,0,0,0,0,0,0,0
Q96MT8,0,1,1,0,1,0,0,0,0,0,0
Q99941,0,1,0,0,0,0,0,0,0,0,0
Q8N9T8,1,1,0,0,0,0,0,0,0,0,0
O95352,0,0,0,0,0,0,0,0,0,0,0
P25067,0,0,0,0,0,0,0,0,0,0,0
Q5VTM2,0,0,0,0,0,0,0,0,0,0,0
Q8ND24,0,0,0,0,0,0,0,0,0,0,0
Q5SY16,1,0,1,0,0,0,0,0,0,0,0
Q8IZ21,0,0,1,0,0,0,0,0,0,0,0
Q9H8Y1,0,0,0,0,0,0,0,0,0,0,0
Q6Y2X3,0,0,0,0,0,0,0,0,0,0,0
Q96KJ4,0,0,0,0,0,0,0,0,0,0,0
Q9Y592,1,0,0,0,0,0,0,0,0,0,0
A9YTQ3,0,0,0,0,0,0,0,0,0,0,0
Q9H0K6,0,0,0,0,0,0,0,0,0,0,0
Q9UF56,0,0,0,0,0,0,0,0,0,0,0
O75127,1,1,1,0,0,0,0,0,0,0,0
Q96QV1,0,0,0,0,1,0,0,0,0,0,0
O15254,0,0,0,0,0,0,0,0,0,0,0
Q92902,0,0,0,0,0,0,0,0,0,0,0
Q06210,1,0,1,1,0,0,0,0,0,0,0
Q14978,1,0,0,1,1,0,0,0,0,0,0
Q8N6R0,1,0,0,1,0,0,0,0,0,0,0
Q9P2Y5,1,0,0,0,0,1,0,0,0,0,0
Q9UKM7,1,1,0,1,1,0,0,0,0,0,0
O94769,0,0,0,0,0,0,0,0,0,0,0
P23327,0,0,0,0,0,0,0,0,0,0,0
Q9NUY8,0,0,0,0,0,0,0,0,0,0,0
Q9UI46,0,0,0,0,0,0,0,0,0,0,0
Q9H720,0,0,0,0,0,0,0,0,0,0,0
P33121,0,0,0,0,0,1,0,0,0,0,0
Q53GS7,1,0,0,0,0,0,0,0,0,0,0
Q8NC60,1,1,1,1,0,0,0,0,0,0,0
Q96RL6,0,0,0,0,0,0,0,0,0,0,0
Q9UBK8,0,0,0,0,0,0,0,0,0,0,0
O43167,1,0,0,0,0,0,0,0,0,0,0
Q86VQ0,1,0,0,0,0,0,0,0,0,0,0
Q96GX1,0,0,0,0,0,0,0,0,0,0,0
Q9NX65,0,0,0,0,0,0,0,0,0,0,0
Q86XR2,0,0,0,0,0,0,0,0,0,0,0
Q9H0V1,0,0,0,0,0,0,0,0,0,0,0
Q9H3C7,0,0,0,0,0,0,0,0,0,0,0
Q8IV35,0,0,0,0,0,0,0,0,0,0,0
Q86VW0,0,1,1,0,0,0,0,0,0,0,0
O00461,0,0,0,0,0,0,0,0,0,0,0
Q9UBH6,0,0,0,0,0,0,0,0,0,0,0
Q5W0A0,0,0,0,0,0,0,0,0,0,0,0
Q9Y426,0,0,0,0,0,0,0,0,0,0,0
Q96MP5,0,0,0,0,0,0,0,0,0,0,0
P49418,0,1,0,0,0,0,0,0,0,0,0
Q02040,0,0,0,1,0,0,0,0,0,0,0
Q7Z417,1,0,0,0,1,0,1,0,0,0,0
Q6IPM2,0,0,0,0,0,0,0,0,0,0,0
Q68DH5,0,0,0,0,0,0,0,0,0,0,0
O96006,0,0,1,0,0,0,0,0,0,0,0
P42166,1,1,1,1,1,0,0,0,0,0,0
Q13480,0,0,0,0,0,0,0,0,0,0,0
Q16281,0,0,0,0,0,0,0,0,0,0,0
Q6TGC4,0,0,0,0,0,0,0,0,0,0,0
Q6ZU52,0,0,0,0,0,0,0,0,0,0,0
Q86XJ1,0,0,0,0,0,0,0,0,0,0,0
Q9H461,0,0,0,0,0,0,0,0,0,0,0
Q9Y2J0,0,0,0,0,0,0,0,0,0,0,0
Q9Y4A8,0,0,0,0,0,0,0,0,0,0,0
P49915,0,0,1,0,0,0,0,0,0,0,0
Q53ET0,0,0,1,0,0,0,0,0,0,0,0
Q9H2G4,0,0,0,0,0,0,0,0,0,1,0
Q9Y653,0,0,0,1,0,0,0,0,0,0,0
O43823,1,0,0,1,0,0,0,0,1,0,0
Q8NBP7,0,0,0,1,0,0,0,0,0,0,0
Q9NVM4,0,0,1,0,0,0,0,0,0,0,0
Q86YC3,0,0,0,0,0,0,0,0,0,0,0
Q96SD1,0,0,0,0,0,0,0,0,0,0,0
Q8TC07,1,0,1,0,1,1,0,0,0,0,0
Q9P1Z2,1,0,1,1,0,0,0,0,0,0,0
A8K979,1,0,0,0,0,0,0,0,0,0,0
O60393,0,0,0,0,0,0,0,0,0,0,0
O75864,0,0,0,0,0,0,0,0,0,0,0
P16452,0,0,0,0,0,0,0,0,0,0,0
P78424,0,0,0,0,0,0,0,0,0,0,0
Q504Y0,0,0,0,0,0,0,0,0,0,0,0
Q6ZR37,0,0,0,0,0,0,0,0,0,0,0
Q8TDR0,0,0,0,0,0,0,0,0,0,0,0
Q96QF7,0,0,0,0,0,0,0,0,0,0,0
Q9HAS3,0,0,0,0,0,0,0,0,0,0,0
Q9UKA1,0,0,0,0,0,0,0,0,0,0,0
Q6IQ21,0,0,0,0,0,0,0,0,0,0,0
Q9HCJ3,0,0,0,0,0,0,0,0,0,0,0
Q86WN1,0,0,1,0,0,0,0,0,0,0,0
O15226,1,1,1,0,0,0,1,0,0,0,0
Q9NR80,0,1,0,0,0,0,0,0,0,0,0
O95436,0,0,0,0,0,0,0,0,0,0,0
Q7Z353,0,0,0,0,0,0,0,0,0,0,0
Q5JTW2,1,0,0,0,0,0,0,0,0,0,0
Q6NUQ4,0,1,0,1,0,0,0,0,0,0,0
Q7L2J0,1,1,0,0,1,0,0,0,1,0,0
Q96EY7,1,1,0,1,0,0,0,0,0,0,0
O15231,0,0,0,0,0,0,0,0,0,0,0
P0C7T5,0,0,0,0,0,0,0,0,0,0,0
Q9NQV8,0,0,0,0,0,0,0,0,0,0,0
Q5T2E6,0,0,0,0,0,0,0,0,0,0,0
Q6ZVT6,0,0,0,0,0,0,0,0,0,0,0
P10074,0,0,0,1,0,0,0,0,0,0,0
P78362,1,0,1,0,0,0,0,0,0,0,0
Q96NL6,0,1,0,0,0,0,0,1,0,0,0
Q9BSC4,0,1,0,0,0,0,0,0,1,0,0
O95171,0,0,0,0,0,0,0,0,0,0,0
Q3MII6,0,0,0,0,0,0,0,0,0,0,0
Q9HBE1,1,1,0,1,0,0,0,0,0,0,0
Q9NVU7,0,1,0,0,0,0,0,0,0,0,0
Q9HCS5,0,1,0,0,0,0,0,0,0,0,0
O60294,0,0,0,0,0,0,0,0,0,0,0
Q8IUC4,0,0,0,0,0,0,0,0,0,0,0
Q969X6,0,0,0,0,0,0,0,0,0,0,0
Q8IUZ0,0,0,0,0,0,0,0,0,0,0,0
Q96MM6,0,0,0,0,0,0,0,0,0,0,0
Q6UX68,0,0,0,0,0,0,0,0,0,0,0
Q7Z304,0,0,0,0,0,0,0,0,0,0,0
Q6P2C0,0,0,0,0,0,0,0,0,0,0,0
Q8N8U9,0,0,1,0,0,0,0,0,0,0,0
Q13586,0,1,1,1,1,0,0,0,0,0,0
P0CG48,1,0,1,0,1,0,0,0,0,1,1
Q9NYY3,0,0,0,1,0,0,0,0,0,0,0
Q9Y252,0,0,0,0,1,0,0,0,0,0,0
O00237,0,0,0,0,0,0,0,0,0,0,0
Q07837,0,0,0,0,0,0,0,0,0,0,0
Q68D10,0,0,0,0,0,0,0,0,0,0,0
Q68DL7,0,0,0,0,0,0,0,0,0,0,0
Q53H47,0,0,0,0,1,0,0,0,0,0,0
Q8IWF2,1,0,0,0,0,0,0,0,1,0,0
Q96RR1,1,0,1,0,0,0,0,0,0,0,0
Q9UKF6,1,0,1,0,0,0,0,0,0,0,0
P12757,0,0,0,0,0,0,0,0,0,0,0
P81274,0,0,0,0,0,0,0,0,0,0,0
Q14050,0,0,0,0,0,0,0,0,0,0,0
Q6P9F0,0,0,0,0,0,0,0,0,0,0,0
Q8N3L3,0,0,0,0,0,0,0,0,0,0,0
Q8WVZ9,0,0,0,0,0,0,0,0,0,0,0
Q9Y450,0,0,0,0,0,0,0,0,0,0,0
Q8WU76,0,0,0,0,0,0,0,0,0,0,0
Q15582,0,0,1,1,0,0,0,1,0,0,0
O43395,1,1,1,0,0,0,0,0,0,0,0
Q13769,0,0,1,1,0,0,0,0,0,0,0
Q8WWK9,0,0,0,1,0,0,0,0,0,0,0
Q96DU7,0,0,0,1,0,0,0,0,0,0,0
Q155Q3,0,0,0,0,0,0,0,0,0,0,0
Q16650,0,1,0,0,0,0,0,0,0,0,0
Q99081,1,0,0,0,0,0,0,0,1,0,0
Q5VTQ0,1,0,0,0,0,0,0,0,0,0,0
Q5U623,0,0,0,0,0,0,0,0,0,0,0
Q6NXG1,0,0,0,1,0,0,0,0,0,0,0
O00566,0,0,0,0,0,0,0,0,1,0,0
O75943,0,0,0,0,0,0,0,0,0,0,0
Q96NU1,0,0,0,0,0,0,0,0,0,0,0
Q99424,0,0,0,0,0,0,0,0,0,0,0
Q99501,0,0,0,0,0,0,0,0,0,0,0
Q4G0Z9,0,0,0,0,0,0,0,0,0,0,0
O15228,1,0,1,0,0,1,0,0,0,0,0
Q7Z4Q2,1,0,1,0,0,0,0,0,1,0,0
P23352,0,0,0,0,0,0,0,0,0,0,0
Q03692,0,0,0,0,0,0,0,0,0,0,0
Q96BD5,0,0,0,0,0,0,0,0,0,0,0
Q8NE28,0,0,0,0,0,0,0,0,0,0,0
P38646,1,1,1,1,1,0,1,0,0,0,1
Q8IVT2,0,1,0,0,0,0,0,0,0,0,0
Q8WUM9,0,0,1,1,0,0,0,0,0,0,0
Q3SXY7,0,0,0,0,0,0,0,0,0,0,0
Q96JA4,0,0,0,0,0,0,0,0,0,0,0
Q2TB18,0,0,0,0,0,0,0,0,0,0,0
Q8IXR5,0,0,0,0,0,0,0,0,0,0,0
O75746,1,1,0,1,0,1,0,0,0,0,1
Q14393,0,0,1,1,0,0,0,0,0,0,0
P45844,0,0,0,0,0,0,0,0,0,0,0
Q5T6L9,0,0,0,0,0,0,0,0,0,0,0
Q6UXI7,0,0,0,0,0,0,0,0,0,0,0
C9JLR9,0,0,0,0,0,0,0,0,0,0,0
Q9H334,0,0,0,0,0,0,0,0,0,1,0
P16278,0,0,1,0,0,0,0,1,0,0,0
P49848,1,0,1,1,1,0,0,0,0,0,0
Q8TAF3,0,0,0,1,0,0,0,0,0,0,0
Q92994,0,0,0,0,0,0,0,0,1,0,0
Q6UWJ1,0,0,0,1,0,0,0,0,0,0,0
O15062,0,0,0,0,0,0,0,0,0,0,0
P05060,0,0,0,0,0,0,0,0,0,0,0
Q15061,0,0,0,0,0,0,0,0,0,0,0
Q8N5D0,0,0,0,0,0,0,0,0,0,0,0
Q96RD6,0,0,0,0,0,0,0,0,0,0,0
Q9NZT2,0,0,0,0,0,0,0,0,0,0,0
Q8WYA0,0,0,1,0,0,0,0,0,0,0,0
Q9BQ70,1,0,0,1,0,0,0,0,0,0,0
Q9UGP4,0,0,0,0,1,0,0,0,0,0,0
Q96N76,0,0,0,0,0,0,0,0,0,0,0
Q8N3R9,0,0,0,1,0,0,0,0,0,0,0
Q0ZGT2,0,0,0,0,0,0,0,0,0,0,0
A1IGU5,0,0,0,0,0,0,0,0,0,0,0
A0A1B0GUU1,0,0,0,0,0,0,0,0,0,0,0
Q6PIW4,0,1,0,0,0,0,0,0,0,0,0
Q8N2M8,0,1,0,0,0,0,0,0,0,0,0
Q9BTX1,0,1,0,0,0,0,0,0,0,0,0
Q09019,0,0,0,1,0,0,0,0,0,0,0
O43895,0,0,0,0,0,0,0,0,0,0,0
O75807,0,0,0,0,0,0,0,0,0,0,0
O75916,0,0,0,0,0,0,0,0,0,0,0
Q9UBU7,0,0,0,0,0,0,0,0,0,0,0
Q9P1V8,0,0,0,0,0,0,0,0,0,0,0
P08133,1,0,1,0,1,0,0,0,0,0,0
P51116,1,0,0,0,1,0,0,0,0,0,0
Q05516,0,0,0,1,1,0,0,0,0,0,0
Q8IUR7,0,0,1,0,0,0,0,0,0,0,0
A6NDB9,0,0,0,0,0,0,0,0,0,0,0
O43524,0,0,0,0,0,0,0,0,0,0,0
Q2M2Z5,0,0,0,0,0,0,0,0,0,0,0
Q6EMK4,0,0,0,0,0,0,0,0,0,0,0
Q6ZVT0,0,0,0,0,0,0,0,0,0,0,0
Q9BW19,0,0,0,0,0,0,0,0,0,0,0
Q9H221,0,0,0,0,0,0,0,0,0,0,0
O60299,0,0,0,0,0,0,0,0,0,0,0
Q8NCG7,0,0,0,1,1,0,0,0,0,0,0
Q8NEM2,0,0,0,1,0,0,0,0,0,0,0
Q86T24,0,0,0,0,0,0,0,0,0,0,0
Q96NG3,0,0,0,0,0,0,0,0,0,0,0
Q9HC96,0,0,0,0,0,0,0,0,0,0,0
Q86V21,0,0,0,0,0,0,0,0,0,0,0
Q9NPB8,0,0,0,0,0,0,0,0,0,0,0
Q9UDV7,1,0,0,0,0,0,0,0,0,0,0
O60504,0,1,0,0,1,0,0,0,0,0,0
O76094,1,1,0,0,0,1,0,0,1,0,0
Q13546,0,0,1,1,0,0,0,0,1,1,0
Q7Z4V5,0,1,1,1,0,0,0,0,0,0,0
P54257,0,0,0,0,0,0,0,0,0,0,0
Q8N7J2,0,0,0,0,0,0,0,0,0,0,0
P18850,0,1,1,0,0,0,0,0,0,0,0
Q6Q0C0,1,0,0,0,0,0,0,0,0,0,0
Q96CN5,0,1,0,0,0,0,0,0,0,0,0
Q96M63,0,0,0,1,0,0,0,0,0,0,0
Q9NVP1,1,1,0,1,1,0,0,0,0,0,0
Q9UNK9,1,0,0,0,0,0,0,0,0,0,0
O95447,0,0,0,0,0,0,0,0,0,0,0
Q96QH2,0,0,0,0,0,0,0,0,0,0,0
Q9Y6X4,0,0,0,0,0,0,0,0,0,0,0
O96005,1,1,1,1,1,1,0,0,0,0,0
Q7RTS9,1,0,0,0,0,0,0,0,0,0,0
Q96PK6,1,0,0,0,1,0,1,0,0,0,0
Q9BRK4,1,1,1,0,1,0,0,0,0,1,0
O00178,0,0,1,0,0,0,0,0,0,0,0
Q86UA1,1,1,1,0,0,0,0,0,0,0,0
Q8N442,0,1,0,0,0,0,0,0,0,0,0
O94925,0,0,0,0,0,0,0,0,0,0,0
Q8WU66,0,0,0,0,0,0,0,0,0,0,0
Q969S8,0,0,0,0,0,0,0,0,0,0,0
Q9BSK4,0,0,0,0,0,0,0,0,0,0,0
Q9UJ78,0,0,0,0,0,0,0,0,0,0,0
